prompt,answer
What is 66 + 19? Answer:,85
What is 91 + 51? Answer:,142
What is 10 + 10? Answer:,20
What is 32 + 72? Answer:,104
What is 14 + 20? Answer:,34
What is 48 + 69? Answer:,117
What is 53 + 40? Answer:,93
What is 14 + 37? Answer:,51
What is 90 + 91? Answer:,181
What is 82 + 34? Answer:,116
What is 77 + 24? Answer:,101
What is 57 + 31? Answer:,88
What is 30 + 84? Answer:,114
What is 33 + 26? Answer:,59
What is 91 + 34? Answer:,125
What is 45 + 88? Answer:,133
What is 21 + 83? Answer:,104
What is 40 + 80? Answer:,120
What is 75 + 88? Answer:,163
What is 43 + 58? Answer:,101
What is 42 + 24? Answer:,66
What is 30 + 89? Answer:,119
What is 35 + 10? Answer:,45
What is 48 + 39? Answer:,87
What is 77 + 61? Answer:,138
What is 88 + 95? Answer:,183
What is 31 + 53? Answer:,84
What is 81 + 61? Answer:,142
What is 15 + 45? Answer:,60
What is 20 + 69? Answer:,89
What is 96 + 55? Answer:,151
What is 52 + 16? Answer:,68
What is 23 + 54? Answer:,77
What is 94 + 79? Answer:,173
What is 11 + 65? Answer:,76
What is 88 + 37? Answer:,125
What is 96 + 59? Answer:,155
What is 16 + 27? Answer:,43
What is 27 + 61? Answer:,88
What is 70 + 78? Answer:,148
What is 67 + 59? Answer:,126
What is 61 + 10? Answer:,71
What is 54 + 95? Answer:,149
What is 67 + 44? Answer:,111
What is 10 + 17? Answer:,27
What is 21 + 61? Answer:,82
What is 17 + 26? Answer:,43
What is 53 + 64? Answer:,117
What is 35 + 61? Answer:,96
What is 10 + 36? Answer:,46
What is 67 + 60? Answer:,127
What is 79 + 61? Answer:,140
What is 27 + 40? Answer:,67
What is 58 + 69? Answer:,127
What is 72 + 96? Answer:,168
What is 12 + 96? Answer:,108
What is 74 + 13? Answer:,87
What is 43 + 42? Answer:,85
What is 16 + 12? Answer:,28
What is 60 + 62? Answer:,122
What is 93 + 72? Answer:,165
What is 95 + 44? Answer:,139
What is 29 + 17? Answer:,46
What is 32 + 99? Answer:,131
What is 39 + 55? Answer:,94
What is 46 + 77? Answer:,123
What is 58 + 77? Answer:,135
What is 11 + 22? Answer:,33
What is 17 + 93? Answer:,110
What is 25 + 29? Answer:,54
What is 91 + 49? Answer:,140
What is 75 + 95? Answer:,170
What is 50 + 65? Answer:,115
What is 45 + 27? Answer:,72
What is 84 + 21? Answer:,105
What is 41 + 73? Answer:,114
What is 77 + 70? Answer:,147
What is 15 + 84? Answer:,99
What is 91 + 72? Answer:,163
What is 35 + 52? Answer:,87
What is 99 + 42? Answer:,141
What is 72 + 84? Answer:,156
What is 58 + 43? Answer:,101
What is 26 + 63? Answer:,89
What is 55 + 90? Answer:,145
What is 40 + 63? Answer:,103
What is 53 + 33? Answer:,86
What is 64 + 94? Answer:,158
What is 27 + 68? Answer:,95
What is 72 + 80? Answer:,152
What is 24 + 98? Answer:,122
What is 75 + 96? Answer:,171
What is 73 + 75? Answer:,148
What is 54 + 23? Answer:,77
What is 44 + 78? Answer:,122
What is 71 + 71? Answer:,142
What is 79 + 34? Answer:,113
What is 75 + 98? Answer:,173
What is 55 + 91? Answer:,146
What is 89 + 73? Answer:,162
What is 32 + 15? Answer:,47
What is 33 + 48? Answer:,81
What is 85 + 28? Answer:,113
What is 52 + 52? Answer:,104
What is 81 + 42? Answer:,123
What is 89 + 98? Answer:,187
What is 17 + 58? Answer:,75
What is 47 + 11? Answer:,58
What is 24 + 10? Answer:,34
What is 34 + 40? Answer:,74
What is 49 + 95? Answer:,144
What is 26 + 28? Answer:,54
What is 54 + 52? Answer:,106
What is 30 + 43? Answer:,73
What is 28 + 83? Answer:,111
What is 85 + 50? Answer:,135
What is 81 + 77? Answer:,158
What is 36 + 44? Answer:,80
What is 63 + 97? Answer:,160
What is 48 + 67? Answer:,115
What is 97 + 78? Answer:,175
What is 21 + 97? Answer:,118
What is 94 + 78? Answer:,172
What is 66 + 65? Answer:,131
What is 99 + 58? Answer:,157
What is 14 + 16? Answer:,30
What is 30 + 57? Answer:,87
What is 87 + 93? Answer:,180
What is 86 + 75? Answer:,161
What is 32 + 91? Answer:,123
What is 84 + 50? Answer:,134
What is 89 + 47? Answer:,136
What is 97 + 12? Answer:,109
What is 99 + 29? Answer:,128
What is 81 + 13? Answer:,94
What is 47 + 98? Answer:,145
What is 23 + 97? Answer:,120
What is 20 + 48? Answer:,68
What is 36 + 91? Answer:,127
What is 86 + 24? Answer:,110
What is 69 + 87? Answer:,156
What is 27 + 99? Answer:,126
What is 11 + 43? Answer:,54
What is 82 + 56? Answer:,138
What is 43 + 32? Answer:,75
What is 35 + 65? Answer:,100
What is 16 + 59? Answer:,75
What is 64 + 27? Answer:,91
What is 17 + 91? Answer:,108
What is 36 + 63? Answer:,99
What is 14 + 85? Answer:,99
What is 41 + 42? Answer:,83
What is 98 + 42? Answer:,140
What is 96 + 50? Answer:,146
What is 30 + 33? Answer:,63
What is 32 + 93? Answer:,125
What is 42 + 16? Answer:,58
What is 84 + 54? Answer:,138
What is 74 + 82? Answer:,156
What is 75 + 41? Answer:,116
What is 68 + 64? Answer:,132
What is 92 + 60? Answer:,152
What is 68 + 49? Answer:,117
What is 60 + 42? Answer:,102
What is 60 + 30? Answer:,90
What is 30 + 77? Answer:,107
What is 98 + 75? Answer:,173
What is 79 + 21? Answer:,100
What is 17 + 56? Answer:,73
What is 34 + 66? Answer:,100
What is 56 + 11? Answer:,67
What is 82 + 46? Answer:,128
What is 39 + 15? Answer:,54
What is 59 + 84? Answer:,143
What is 27 + 78? Answer:,105
What is 25 + 19? Answer:,44
What is 94 + 25? Answer:,119
What is 46 + 13? Answer:,59
What is 45 + 92? Answer:,137
What is 37 + 79? Answer:,116
What is 89 + 14? Answer:,103
What is 24 + 17? Answer:,41
What is 38 + 98? Answer:,136
What is 10 + 58? Answer:,68
What is 25 + 96? Answer:,121
What is 69 + 99? Answer:,168
What is 81 + 64? Answer:,145
What is 33 + 39? Answer:,72
What is 32 + 91? Answer:,123
What is 58 + 47? Answer:,105
What is 80 + 62? Answer:,142
What is 85 + 37? Answer:,122
What is 35 + 32? Answer:,67
What is 94 + 44? Answer:,138
What is 79 + 42? Answer:,121
What is 98 + 79? Answer:,177
What is 72 + 52? Answer:,124
What is 72 + 48? Answer:,120
What is 75 + 12? Answer:,87
What is 46 + 58? Answer:,104
What is 90 + 77? Answer:,167
What is 15 + 99? Answer:,114
What is 84 + 32? Answer:,116
What is 33 + 73? Answer:,106
What is 65 + 73? Answer:,138
What is 63 + 37? Answer:,100
What is 92 + 26? Answer:,118
What is 72 + 53? Answer:,125
What is 55 + 89? Answer:,144
What is 63 + 51? Answer:,114
What is 46 + 96? Answer:,142
What is 91 + 14? Answer:,105
What is 32 + 10? Answer:,42
What is 66 + 63? Answer:,129
What is 35 + 30? Answer:,65
What is 35 + 31? Answer:,66
What is 36 + 35? Answer:,71
What is 43 + 32? Answer:,75
What is 27 + 81? Answer:,108
What is 89 + 89? Answer:,178
What is 77 + 78? Answer:,155
What is 63 + 37? Answer:,100
What is 49 + 37? Answer:,86
What is 91 + 87? Answer:,178
What is 40 + 55? Answer:,95
What is 65 + 34? Answer:,99
What is 12 + 15? Answer:,27
What is 78 + 32? Answer:,110
What is 64 + 65? Answer:,129
What is 81 + 96? Answer:,177
What is 66 + 81? Answer:,147
What is 56 + 63? Answer:,119
What is 24 + 55? Answer:,79
What is 21 + 36? Answer:,57
What is 20 + 57? Answer:,77
What is 65 + 38? Answer:,103
What is 42 + 29? Answer:,71
What is 71 + 59? Answer:,130
What is 27 + 30? Answer:,57
What is 52 + 59? Answer:,111
What is 70 + 15? Answer:,85
What is 64 + 73? Answer:,137
What is 65 + 89? Answer:,154
What is 17 + 27? Answer:,44
What is 45 + 51? Answer:,96
What is 44 + 37? Answer:,81
What is 94 + 19? Answer:,113
What is 87 + 43? Answer:,130
What is 31 + 73? Answer:,104
What is 92 + 57? Answer:,149
What is 18 + 40? Answer:,58
What is 96 + 18? Answer:,114
What is 25 + 85? Answer:,110
What is 47 + 79? Answer:,126
What is 28 + 16? Answer:,44
What is 90 + 61? Answer:,151
What is 31 + 27? Answer:,58
What is 20 + 79? Answer:,99
What is 54 + 47? Answer:,101
What is 66 + 51? Answer:,117
What is 78 + 64? Answer:,142
What is 74 + 55? Answer:,129
What is 17 + 61? Answer:,78
What is 62 + 98? Answer:,160
What is 50 + 59? Answer:,109
What is 72 + 52? Answer:,124
What is 11 + 47? Answer:,58
What is 34 + 89? Answer:,123
What is 58 + 64? Answer:,122
What is 12 + 90? Answer:,102
What is 63 + 59? Answer:,122
What is 40 + 93? Answer:,133
What is 60 + 98? Answer:,158
What is 19 + 97? Answer:,116
What is 59 + 66? Answer:,125
What is 24 + 12? Answer:,36
What is 82 + 37? Answer:,119
What is 85 + 81? Answer:,166
What is 88 + 62? Answer:,150
What is 80 + 49? Answer:,129
What is 22 + 11? Answer:,33
What is 94 + 78? Answer:,172
What is 31 + 46? Answer:,77
What is 25 + 71? Answer:,96
What is 17 + 27? Answer:,44
What is 69 + 59? Answer:,128
What is 28 + 45? Answer:,73
What is 66 + 58? Answer:,124
What is 35 + 37? Answer:,72
What is 42 + 11? Answer:,53
What is 82 + 49? Answer:,131
What is 38 + 92? Answer:,130
What is 67 + 15? Answer:,82
What is 76 + 59? Answer:,135
What is 34 + 11? Answer:,45
What is 67 + 25? Answer:,92
What is 71 + 71? Answer:,142
What is 83 + 55? Answer:,138
What is 45 + 28? Answer:,73
What is 66 + 64? Answer:,130
What is 92 + 78? Answer:,170
What is 10 + 34? Answer:,44
What is 84 + 91? Answer:,175
What is 81 + 17? Answer:,98
What is 86 + 97? Answer:,183
What is 88 + 74? Answer:,162
What is 21 + 52? Answer:,73
What is 18 + 55? Answer:,73
What is 59 + 85? Answer:,144
What is 11 + 33? Answer:,44
What is 45 + 16? Answer:,61
What is 71 + 30? Answer:,101
What is 74 + 81? Answer:,155
What is 92 + 10? Answer:,102
What is 64 + 29? Answer:,93
What is 82 + 67? Answer:,149
What is 83 + 30? Answer:,113
What is 46 + 70? Answer:,116
What is 78 + 58? Answer:,136
What is 29 + 27? Answer:,56
What is 42 + 19? Answer:,61
What is 50 + 63? Answer:,113
What is 75 + 65? Answer:,140
What is 70 + 22? Answer:,92
What is 33 + 83? Answer:,116
What is 32 + 81? Answer:,113
What is 38 + 48? Answer:,86
What is 28 + 97? Answer:,125
What is 20 + 83? Answer:,103
What is 38 + 68? Answer:,106
What is 32 + 78? Answer:,110
What is 85 + 16? Answer:,101
What is 10 + 34? Answer:,44
What is 24 + 24? Answer:,48
What is 16 + 84? Answer:,100
What is 75 + 52? Answer:,127
What is 65 + 63? Answer:,128
What is 24 + 86? Answer:,110
What is 69 + 36? Answer:,105
What is 24 + 16? Answer:,40
What is 81 + 32? Answer:,113
What is 14 + 92? Answer:,106
What is 14 + 88? Answer:,102
What is 59 + 17? Answer:,76
What is 84 + 60? Answer:,144
What is 98 + 32? Answer:,130
What is 24 + 89? Answer:,113
What is 56 + 25? Answer:,81
What is 41 + 68? Answer:,109
What is 72 + 13? Answer:,85
What is 79 + 14? Answer:,93
What is 66 + 32? Answer:,98
What is 59 + 56? Answer:,115
What is 58 + 82? Answer:,140
What is 94 + 62? Answer:,156
What is 62 + 84? Answer:,146
What is 27 + 82? Answer:,109
What is 32 + 28? Answer:,60
What is 51 + 98? Answer:,149
What is 22 + 68? Answer:,90
What is 19 + 25? Answer:,44
What is 40 + 44? Answer:,84
What is 93 + 37? Answer:,130
What is 41 + 26? Answer:,67
What is 17 + 13? Answer:,30
What is 37 + 72? Answer:,109
What is 16 + 32? Answer:,48
What is 38 + 14? Answer:,52
What is 38 + 80? Answer:,118
What is 87 + 95? Answer:,182
What is 79 + 65? Answer:,144
What is 82 + 46? Answer:,128
What is 28 + 54? Answer:,82
What is 59 + 86? Answer:,145
What is 48 + 27? Answer:,75
What is 58 + 64? Answer:,122
What is 41 + 31? Answer:,72
What is 90 + 59? Answer:,149
What is 71 + 84? Answer:,155
What is 21 + 32? Answer:,53
What is 71 + 22? Answer:,93
What is 87 + 15? Answer:,102
What is 93 + 18? Answer:,111
What is 74 + 84? Answer:,158
What is 97 + 55? Answer:,152
What is 39 + 10? Answer:,49
What is 30 + 96? Answer:,126
What is 24 + 24? Answer:,48
What is 12 + 69? Answer:,81
What is 97 + 96? Answer:,193
What is 63 + 51? Answer:,114
What is 40 + 78? Answer:,118
What is 43 + 76? Answer:,119
What is 57 + 62? Answer:,119
What is 20 + 93? Answer:,113
What is 33 + 20? Answer:,53
What is 51 + 79? Answer:,130
What is 57 + 79? Answer:,136
What is 89 + 36? Answer:,125
What is 67 + 61? Answer:,128
What is 58 + 75? Answer:,133
What is 64 + 22? Answer:,86
What is 26 + 77? Answer:,103
What is 95 + 16? Answer:,111
What is 51 + 38? Answer:,89
What is 71 + 34? Answer:,105
What is 33 + 10? Answer:,43
What is 72 + 40? Answer:,112
What is 33 + 35? Answer:,68
What is 22 + 66? Answer:,88
What is 36 + 27? Answer:,63
What is 23 + 59? Answer:,82
What is 68 + 54? Answer:,122
What is 60 + 42? Answer:,102
What is 89 + 69? Answer:,158
What is 20 + 15? Answer:,35
What is 90 + 76? Answer:,166
What is 42 + 97? Answer:,139
What is 19 + 69? Answer:,88
What is 68 + 48? Answer:,116
What is 20 + 73? Answer:,93
What is 27 + 29? Answer:,56
What is 10 + 61? Answer:,71
What is 37 + 74? Answer:,111
What is 11 + 15? Answer:,26
What is 74 + 32? Answer:,106
What is 56 + 17? Answer:,73
What is 59 + 81? Answer:,140
What is 12 + 76? Answer:,88
What is 61 + 16? Answer:,77
What is 76 + 24? Answer:,100
What is 38 + 92? Answer:,130
What is 68 + 57? Answer:,125
What is 11 + 84? Answer:,95
What is 81 + 42? Answer:,123
What is 35 + 47? Answer:,82
What is 58 + 59? Answer:,117
What is 19 + 77? Answer:,96
What is 13 + 24? Answer:,37
What is 19 + 18? Answer:,37
What is 76 + 63? Answer:,139
What is 72 + 26? Answer:,98
What is 90 + 33? Answer:,123
What is 25 + 22? Answer:,47
What is 72 + 99? Answer:,171
What is 85 + 13? Answer:,98
What is 76 + 47? Answer:,123
What is 53 + 55? Answer:,108
What is 14 + 38? Answer:,52
What is 81 + 18? Answer:,99
What is 45 + 39? Answer:,84
What is 85 + 82? Answer:,167
What is 73 + 12? Answer:,85
What is 97 + 99? Answer:,196
What is 74 + 42? Answer:,116
What is 25 + 18? Answer:,43
What is 18 + 69? Answer:,87
What is 80 + 79? Answer:,159
What is 86 + 66? Answer:,152
What is 34 + 61? Answer:,95
What is 88 + 19? Answer:,107
What is 77 + 21? Answer:,98
What is 21 + 55? Answer:,76
What is 55 + 23? Answer:,78
What is 53 + 41? Answer:,94
What is 33 + 54? Answer:,87
What is 47 + 20? Answer:,67
What is 80 + 44? Answer:,124
What is 83 + 62? Answer:,145
What is 33 + 80? Answer:,113
What is 94 + 35? Answer:,129
What is 69 + 45? Answer:,114
What is 33 + 96? Answer:,129
What is 76 + 10? Answer:,86
What is 64 + 95? Answer:,159
What is 49 + 14? Answer:,63
What is 95 + 17? Answer:,112
What is 95 + 80? Answer:,175
What is 28 + 75? Answer:,103
What is 49 + 47? Answer:,96
What is 68 + 28? Answer:,96
What is 34 + 51? Answer:,85
What is 57 + 27? Answer:,84
What is 30 + 48? Answer:,78
What is 32 + 42? Answer:,74
What is 41 + 10? Answer:,51
What is 64 + 37? Answer:,101
What is 75 + 81? Answer:,156
What is 33 + 39? Answer:,72
What is 96 + 51? Answer:,147
What is 29 + 85? Answer:,114
What is 73 + 78? Answer:,151
What is 80 + 17? Answer:,97
What is 96 + 84? Answer:,180
What is 51 + 12? Answer:,63
What is 73 + 71? Answer:,144
What is 24 + 90? Answer:,114
What is 67 + 47? Answer:,114
What is 86 + 19? Answer:,105
What is 36 + 74? Answer:,110
What is 64 + 66? Answer:,130
What is 33 + 52? Answer:,85
What is 42 + 96? Answer:,138
What is 46 + 13? Answer:,59
What is 82 + 57? Answer:,139
What is 26 + 32? Answer:,58
What is 22 + 27? Answer:,49
What is 28 + 77? Answer:,105
What is 76 + 40? Answer:,116
What is 34 + 44? Answer:,78
What is 25 + 73? Answer:,98
What is 19 + 63? Answer:,82
What is 55 + 12? Answer:,67
What is 46 + 47? Answer:,93
What is 81 + 48? Answer:,129
What is 29 + 90? Answer:,119
What is 66 + 15? Answer:,81
What is 10 + 96? Answer:,106
What is 43 + 30? Answer:,73
What is 62 + 46? Answer:,108
What is 29 + 81? Answer:,110
What is 23 + 94? Answer:,117
What is 91 + 23? Answer:,114
What is 55 + 81? Answer:,136
What is 79 + 49? Answer:,128
What is 64 + 32? Answer:,96
What is 81 + 44? Answer:,125
What is 22 + 19? Answer:,41
What is 76 + 30? Answer:,106
What is 35 + 80? Answer:,115
What is 43 + 66? Answer:,109
What is 33 + 11? Answer:,44
What is 45 + 92? Answer:,137
What is 28 + 98? Answer:,126
What is 97 + 34? Answer:,131
What is 26 + 14? Answer:,40
What is 35 + 98? Answer:,133
What is 94 + 53? Answer:,147
What is 33 + 10? Answer:,43
What is 52 + 47? Answer:,99
What is 91 + 94? Answer:,185
What is 42 + 58? Answer:,100
What is 29 + 27? Answer:,56
What is 39 + 44? Answer:,83
What is 38 + 79? Answer:,117
What is 74 + 80? Answer:,154
What is 18 + 26? Answer:,44
What is 45 + 40? Answer:,85
What is 42 + 20? Answer:,62
What is 33 + 23? Answer:,56
What is 55 + 10? Answer:,65
What is 16 + 94? Answer:,110
What is 77 + 46? Answer:,123
What is 24 + 71? Answer:,95
What is 14 + 51? Answer:,65
What is 11 + 94? Answer:,105
What is 51 + 60? Answer:,111
What is 41 + 84? Answer:,125
What is 86 + 70? Answer:,156
What is 52 + 21? Answer:,73
What is 21 + 85? Answer:,106
What is 66 + 24? Answer:,90
What is 48 + 19? Answer:,67
What is 32 + 25? Answer:,57
What is 76 + 44? Answer:,120
What is 10 + 43? Answer:,53
What is 58 + 95? Answer:,153
What is 26 + 56? Answer:,82
What is 93 + 67? Answer:,160
What is 74 + 70? Answer:,144
What is 79 + 33? Answer:,112
What is 37 + 69? Answer:,106
What is 58 + 74? Answer:,132
What is 95 + 35? Answer:,130
What is 60 + 16? Answer:,76
What is 34 + 10? Answer:,44
What is 37 + 28? Answer:,65
What is 10 + 71? Answer:,81
What is 73 + 19? Answer:,92
What is 75 + 66? Answer:,141
What is 49 + 55? Answer:,104
What is 43 + 14? Answer:,57
What is 98 + 92? Answer:,190
What is 66 + 82? Answer:,148
What is 47 + 24? Answer:,71
What is 71 + 44? Answer:,115
What is 21 + 89? Answer:,110
What is 30 + 85? Answer:,115
What is 98 + 90? Answer:,188
What is 97 + 32? Answer:,129
What is 95 + 26? Answer:,121
What is 62 + 88? Answer:,150
What is 20 + 22? Answer:,42
What is 12 + 50? Answer:,62
What is 28 + 49? Answer:,77
What is 86 + 83? Answer:,169
What is 88 + 93? Answer:,181
What is 27 + 61? Answer:,88
What is 74 + 47? Answer:,121
What is 97 + 74? Answer:,171
What is 68 + 49? Answer:,117
What is 29 + 10? Answer:,39
What is 22 + 27? Answer:,49
What is 34 + 32? Answer:,66
What is 67 + 77? Answer:,144
What is 29 + 37? Answer:,66
What is 23 + 98? Answer:,121
What is 89 + 63? Answer:,152
What is 30 + 20? Answer:,50
What is 35 + 51? Answer:,86
What is 29 + 68? Answer:,97
What is 19 + 53? Answer:,72
What is 86 + 11? Answer:,97
What is 62 + 30? Answer:,92
What is 45 + 88? Answer:,133
What is 45 + 50? Answer:,95
What is 37 + 13? Answer:,50
What is 86 + 23? Answer:,109
What is 72 + 85? Answer:,157
What is 87 + 92? Answer:,179
What is 88 + 99? Answer:,187
What is 80 + 65? Answer:,145
What is 68 + 14? Answer:,82
What is 40 + 53? Answer:,93
What is 38 + 59? Answer:,97
What is 37 + 24? Answer:,61
What is 83 + 93? Answer:,176
What is 12 + 32? Answer:,44
What is 94 + 23? Answer:,117
What is 32 + 45? Answer:,77
What is 90 + 61? Answer:,151
What is 39 + 18? Answer:,57
What is 74 + 63? Answer:,137
What is 28 + 13? Answer:,41
What is 49 + 60? Answer:,109
What is 27 + 99? Answer:,126
What is 38 + 67? Answer:,105
What is 78 + 14? Answer:,92
What is 71 + 70? Answer:,141
What is 66 + 71? Answer:,137
What is 29 + 99? Answer:,128
What is 18 + 31? Answer:,49
What is 19 + 34? Answer:,53
What is 92 + 80? Answer:,172
What is 58 + 87? Answer:,145
What is 60 + 78? Answer:,138
What is 90 + 59? Answer:,149
What is 49 + 33? Answer:,82
What is 16 + 52? Answer:,68
What is 83 + 84? Answer:,167
What is 15 + 53? Answer:,68
What is 65 + 28? Answer:,93
What is 44 + 24? Answer:,68
What is 12 + 59? Answer:,71
What is 73 + 71? Answer:,144
What is 81 + 62? Answer:,143
What is 36 + 75? Answer:,111
What is 57 + 21? Answer:,78
What is 38 + 54? Answer:,92
What is 96 + 78? Answer:,174
What is 54 + 17? Answer:,71
What is 24 + 77? Answer:,101
What is 60 + 40? Answer:,100
What is 93 + 83? Answer:,176
What is 82 + 82? Answer:,164
What is 85 + 73? Answer:,158
What is 89 + 30? Answer:,119
What is 86 + 79? Answer:,165
What is 45 + 56? Answer:,101
What is 77 + 18? Answer:,95
What is 94 + 29? Answer:,123
What is 46 + 84? Answer:,130
What is 68 + 73? Answer:,141
What is 77 + 26? Answer:,103
What is 71 + 25? Answer:,96
What is 70 + 13? Answer:,83
What is 21 + 12? Answer:,33
What is 42 + 62? Answer:,104
What is 68 + 65? Answer:,133
